time;gFx;gFy;gFz;TgF
0,01;0,123;0,5311;0,9245;1,073
0,012;0,1115;0,5488;0,888;1,05
0,029;0,104;0,5834;0,8063;1,001
0,06;0,1105;0,6416;0,723;0,973
0,088;0,1041;0,6788;0,6835;0,969
0,093;0,1263;0,6702;0,648;0,941
0,108;0,1382;0,6329;0,6411;0,911
0,14;0,1363;0,6475;0,6296;0,913
0,155;0,1156;0,6658;0,6155;0,914
0,171;0,1;0,6663;0,6112;0,91
0,186;0,0937;0,6411;0,6274;0,902
0,218;0,0833;0,6577;0,6607;0,936
0,237;0,0594;0,694;0,6851;0,977
0,265;0,0507;0,7131;0,6956;0,998
0,283;0,0512;0,6882;0,7203;0,998
0,297;0,0599;0,6554;0,7426;0,992
0,314;0,062;0,657;0,747;0,997
0,33;0,0746;0,6744;0,7345;1
0,364;0,0823;0,684;0,7151;0,993
0,379;0,0824;0,6771;0,6978;0,976
0,393;0,0813;0,6573;0,6932;0,959
0,425;0,0838;0,6546;0,7031;0,964
0,44;0,0901;0,6626;0,699;0,967
0,455;0,1035;0,6821;0,688;0,974
0,475;0,1018;0,6804;0,689;0,974
0,505;0,0836;0,6685;0,6857;0,961
0,522;0,0786;0,6772;0,6701;0,956
0,536;0,0816;0,7011;0,654;0,962
0,551;0,0783;0,6923;0,6497;0,953
0,584;0,0836;0,6655;0,6285;0,919
0,599;0,0446;0,6375;0,6275;0,896
0,616;0,0206;0,6609;0,6518;0,929
0,639;0,0212;0,726;0,7089;1,015
0,674;0,1069;0,6852;0,7201;1
0,677;0,2381;0,5933;0,6715;0,927
0,705;0,2441;0,5753;0,6786;0,923
0,727;0,1028;0,6492;0,7545;1,001
0,743;-0,0119;0,7102;0,8658;1,12
0,759;0,0044;0,7198;0,9139;1,163
0,773;0,0765;0,7435;0,9584;1,215
0,805;0,1244;0,7313;0,9885;1,236
0,82;0,2067;0,6504;0,9542;1,173
0,837;0,2711;0,5795;0,8864;1,093
0,853;0,1987;0,5121;0,8076;0,977
0,885;-0,045;0,6245;0,8555;1,06
0,901;-0,1041;0,5792;0,8691;1,05
0,917;0,0173;0,4515;0,793;0,913
0,947;0,1026;0,4208;0,7245;0,844
0,966;0,1414;0,4418;0,7045;0,843
0,981;0,1863;0,4748;0,6856;0,855
0,996;0,2012;0,4905;0,6732;0,857
1,028;0,167;0,4194;0,7029;0,835
1,044;0,1582;0,3448;0,6618;0,763
1,061;0,1771;0,3651;0,6396;0,757
1,074;0,1097;0,4475;0,672;0,815
